2015-01-01,27.3,23.9,32.5,0,0,25461
2015-01-02,27.02,24.5,33.5,0,0,28972
2015-01-03,24.82,22.4,29.9,0,1,30814
2015-01-04,23.98,21.5,28.6,1.2,1,29799
2015-01-05,23.82,21,28.3,0,0,28900
2015-01-06,23.78,20.1,30.5,12.2,0,28218
2015-01-07,24,19.5,33.7,0,0,29732
2015-01-08,24.9,19.5,32.8,48.6,0,28397
2015-01-09,28.2,21.9,34,4.4,0,24886
2015-01-10,26.76,22.1,34.2,0,1,37937
2015-01-11,27.62,22.2,34.8,3.4,1,36254
2015-01-12,25.96,21.4,35.4,0,0,25743
2015-01-13,25.52,21.2,34.8,0.8,0,26990
2015-01-14,25.96,21.3,34,1.6,0,31825
2015-01-15,25.86,21.5,32.8,3,0,25724
2015-01-16,26.5,22.3,32.7,2,0,29938
2015-01-17,28.86,22,35.8,0,1,37690
2015-01-18,28.26,23.4,35.6,0,1,30524
2015-01-19,28.22,22.7,36.5,3.7,0,29265
2015-01-20,27.68,23.3,35.6,0.6,0,35127
2015-01-21,25.32,22.7,30.9,0,0,29130
2015-01-22,21.74,19.2,26.1,31,0,25795
2015-01-23,21.04,18.5,26.1,3.6,0,21784
2015-01-24,23.12,19,29.4,13,1,28348
2015-01-25,24.4,18.1,30,0,1,31088
2015-01-26,22.4,18.9,28.7,20.8,0,21520
2015-01-27,23.6,20.5,28.7,1.2,0,29972
2015-01-28,25.68,20.1,29.9,4.9,0,22603
2015-01-29,25,21.5,29.2,0,0,22696
2015-01-30,22.8,20.9,26.9,0,0,26845
2015-01-31,21.64,18.5,24.3,0.2,1,27030
2015-02-01,24.16,20.6,28,0,1,32057
2015-02-02,22.48,20.7,26.5,4.5,0,24097
2015-02-03,23.16,18,31.1,1.6,0,31655
2015-02-04,22.12,19.9,23.7,3.2,0,24738
2015-02-05,20.28,19.1,22.9,5.6,0,19950
2015-02-06,21.06,17.9,25.4,18.4,0,22821
2015-02-07,21.86,17.3,28.7,16.7,1,28893
2015-02-08,22.76,17.1,29.5,10.4,1,29926
2015-02-09,24,19.3,30.7,0,0,24062
2015-02-10,23.92,20.1,29,32.2,0,21137
2015-02-11,25.38,19.9,30.4,2.2,0,26805
2015-02-12,27.66,23.1,32.7,0,0,26389
2015-02-13,25.54,22.5,32.1,0,0,24219
2015-02-14,24.32,21.1,31.6,0,1,30231
2015-02-15,22.9,20,27.6,17.4,1,24968
2015-02-16,21.6,18.8,27.3,22.7,0,25343
2015-02-17,22.76,19.7,28,85.3,0,17399
2015-02-18,22.22,19.9,26.4,13.4,0,21392
2015-02-19,23.92,19.9,28.5,2.4,0,22922
